,Pais_x,Poblacion,total_gdp_million,ECI,año_x,Ecuador
383,Dominican Republic,9164768.0,35777.57014,-0.5331092633,2005,1
384,Dominican Republic,9284168.0,37879.8699,-0.4485405315,2006,1
385,Dominican Republic,8540791.0,24305.71754,-0.6121420919,2000,1
386,Dominican Republic,9522948.0,48122.54718,-0.2570625122,2008,1
387,Dominican Republic,9648061.0,48261.0333,-0.2336330901,2009,1
388,Dominican Republic,9775755.0,53860.17556,-0.2374041969,2010,1
389,Dominican Republic,9903737.0,58029.75075,-0.1891493449,2011,1
390,Dominican Republic,9402206.0,43965.42007,-0.3402711313,2007,1
391,Dominican Republic,10157051.0,62682.16384,-0.2448807852,2013,1
392,Dominican Republic,10282115.0,67179.91403,-0.1839838,2014,1
393,Dominican Republic,10405832.0,71164.82526,-0.2196162771,2015,1
394,Dominican Republic,10527592.0,75704.72019,-0.2665907118,2016,1
395,Dominican Republic,10647244.0,79997.97562,-0.2164991268,2017,1
396,Dominican Republic,10765531.0,85555.37804,-0.2255355979,2018,1
397,Dominican Republic,10881882.0,88941.29973,-0.1167595195,2019,1
398,Dominican Republic,10030882.0,60681.5372,-0.277446527,2012,1
399,Ecuador,15483883.0,87924.544,-0.582949129,2012,1
400,Ecuador,15722989.0,95129.659,-0.6320514431,2013,1
401,Ecuador,15957994.0,101726.331,-0.6169353785,2014,1
402,Ecuador,16195902.0,99290.381,-0.7707966391,2015,1
403,Ecuador,17343740.0,108108.009,-0.9126744618,2019,1
404,Ecuador,16696944.0,104295.862,-0.9443635852,2017,1
405,Ecuador,17015672.0,107562.008,-0.8304268176,2018,1
406,Ecuador,15237728.0,79276.664,-0.6831628031,2011,1
407,Ecuador,16439585.0,99937.696,-0.9996336175,2016,1
408,Ecuador,14989585.0,69555.367,-0.808797782,2010,1
409,Ecuador,17588595.0,99291.124,-0.9819097494,2020,1
410,Ecuador,14496797.0,61762.635,-0.8068015759,2008,1
411,Ecuador,12626507.0,18327.76488,-0.7570650416,2000,1
412,Ecuador,12845521.0,24468.324,-0.7656431909,2001,1
413,Ecuador,13070609.0,28548.945,-0.8969332768,2002,1
414,Ecuador,13301184.0,32432.858,-0.9470492569,2003,1
415,Ecuador,14742766.0,62519.686,-0.9396419545,2009,1
416,Ecuador,13770012.0,41507.085,-0.9887083224,2005,1
417,Ecuador,14009061.0,46802.044,-0.8991520454,2006,1
418,Ecuador,14251835.0,51007.777,-0.6775804267,2007,1
419,Ecuador,13534593.0,36591.661,-1.0027753933,2004,1
420,El Salvador,6292731.0,24563.02,-0.1491689851,2020,1
421,El Salvador,6209526.0,22593.47,-0.1924099357,2014,1
422,El Salvador,6280217.0,26881.14,-0.0590481564,2019,1
423,El Salvador,6276342.0,26020.85,-0.1078713131,2018,1
424,El Salvador,6266654.0,24979.19,-0.0857152128,2017,1
425,El Salvador,6250510.0,24191.43,-0.2582539233,2016,1
426,El Salvador,6231066.0,23438.24,-0.2295335587,2015,1
