1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Country,Country ID
1.043629671,1.052131107,1.179885763,1.191224124,1.273393595,1.213144376,1.238874391,1.160911125,1.104544992,1.210381047,1.249939912,1.17686159,1.239943859,1.253997396,1.258572096,1.218090323,1.241754275,1.259294784,1.229762763,1.233677939,1.184860761,1.155544679,1.153723549,1.21288648,Israel,asisr
1.115313728,1.142157047,1.191419102,1.259498115,1.248187252,1.218194373,1.244768078,1.229991871,1.247279792,1.251884138,1.260544419,1.301325175,1.266442257,1.328774543,1.308536164,1.310897315,1.299350204,1.300888207,1.293892953,1.304038729,1.304127875,1.325450562,1.306532334,1.271406281,Italia,euita
-0.972724765,-0.7861681,-0.667560113,-0.725448487,,,-0.621239632,-0.504277621,-0.464441352,-0.363677314,-0.354426682,-0.278580571,-0.300375405,-0.219124895,-0.235645606,-0.360183238,-0.264368199,-0.287083542,,,-0.269472994,-0.286622695,-0.373227543,-0.22768268,Jamaica,najam
1.706574051,1.680443077,1.8054461,1.917052028,1.937839469,1.996125892,2.15089192,2.127531369,2.131800327,2.065159961,2.110341625,2.115455652,2.120407095,2.231290921,2.26069174,2.220912056,2.122116294,2.149539963,2.192862157,2.182381804,2.207338231,2.203985673,2.190882948,2.061968474,Japón,asjpn
0.313156839,0.444945097,0.346651585,0.272936926,0.176131025,0.017095147,-0.070313941,-0.228538156,-0.139779919,-0.119795544,-0.043662902,-0.062528061,0.004015659,-0.007928698,-0.001385041,0.052462746,0.09016036,0.03386313,-0.039890492,-0.046245888,-0.036735432,-0.024399389,-0.078523708,0.027080178,Jordania,asjor
-1.902488118,-1.54854994,-1.208202044,-0.938128881,-0.73292482,-0.773043466,-0.520829485,-0.223776984,-0.260098755,-0.206885445,-0.214243868,-0.2302975,-0.061440734,0.068515661,-0.147825021,0.089536296,0.058034907,0.02427582,0.109394254,-0.064005845,-0.138385103,-0.121047737,-0.046565456,-0.17344939,Katar,asqat
0.339139964,-0.085578594,-0.24836073,-0.151504222,-0.275049668,-0.389502437,-0.515917664,-0.529077648,-0.436640841,-0.406979107,-0.412667843,-0.36061368,-0.420561352,-0.31127152,-0.15160584,-0.04618022,-0.072856469,-0.069260744,-0.07583192,-0.162543623,-0.224496286,-0.270653043,-0.24476533,-0.281652114,Kazajstán,askaz
-0.151488713,-0.182029955,-0.190528015,-0.221882617,-0.328648063,-0.44584629,-0.512948129,-0.467208782,-0.382811668,-0.285479471,-0.300096552,-0.38816342,-0.406778595,-0.495707748,-0.534513949,-0.525105139,-0.393349279,-0.461575439,-0.584048318,-0.564789624,-0.473000519,-0.4783259,-0.488693857,-0.4587327,Kenia,afken
,,,,,,,,,,,,,-0.34952599,-0.279723098,-0.185461343,-0.127726032,-0.067448739,-0.063499592,-0.016366083,-0.078867893,-0.172397694,-0.212383026,-0.117329247,Kirguistán,askgz
-0.541430958,-0.522575003,-0.625322119,-0.338188609,-0.324470717,-0.4615565,-0.409639197,-0.449555188,-0.373786995,-0.409402441,-0.272563781,-0.024764256,0.340609318,0.142548497,0.215869346,0.222281594,0.235826807,0.275631473,0.168182562,0.189085068,0.123508547,-0.042693132,0.036945149,0.342243572,Kuwait,askwt
,,,,,,,,,,,,-1.216512266,-1.317210988,-1.359359629,-1.238479591,-1.139964093,-1.083255189,-1.113922456,-0.969437252,-0.989043954,-0.942417604,-0.97317872,-0.703949267,Laos,aslao
,,,,,,0.209967222,0.252259306,0.309889135,0.337616767,0.390650047,0.35936701,0.363167221,0.31066723,0.262473895,0.285580529,0.369372295,0.354479998,0.298936378,0.304200416,0.270738206,0.271628398,0.270308278,0.345760741,Líbano,aslbn
